pp,group,group2,age,age_cont,gender,race,g edu,tempord,recog,scaledcorz_within,scaledcorz_ktoa,scaledcorz_adultlike,cantab468,cantab12,kbit,kbit_raw,nbps,scene_number,detail_number,summary,thoughts/emotion,not_quite,not_happen,extTO,intTO,scene_number1,detail_number1,summary1,thoughts/emotion1,not_quite1,not_happen1,extTO1,intTO1
127,K,OK,6,6.731506849,F,W,6,24,15,0.487429543,0.188815155,0.188815155,16,32,114,45,45,4,3,2,0,0,0,3,2,0,0,0,0,0,0,0,0
128,K,OK,7,7.884931507,F,W,6,34,19,0.565863949,0.228760735,0.228760735,22,67,134,68,23,10,25,0,2,0,1,9,23,0,0,0,0,0,0,0,0
129,K,YK,5,5.687671233,F,W,6,29,14,0.589327498,0.158727115,0.158727115,18,37,117,40,30,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
130,K,YK,5,5.271232877,F,W,5,23,16,0.484700279,0.197656368,0.197656368,24,40,122,39,38,1,1,0,4,1,0,1,1,0,0,0,0,0,0,0,0
131,K,YK,4,4.205479452,F,M,6,22,11,0.628274231,0.084992092,0.084992092,32,51,109,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,K,YK,4,4.345205479,M,A,7,18,9,0.57514215,0.128498131,0.128498131,21,53,85,15,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,K,YK,5,5.567123288,M,W,7,32,17,0.529998726,0.148738235,0.148738235,24,49,126,44,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,K,YK,4,4.61369863,M,W,4.5,19,13,0.459782029,0.035912867,0.035912867,33,78,124,36,23,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
153,K,YK,4,4.531506849,M,W,5,17,12,,,,12,56,118,32,,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
154,K,OK,6,6.693150685,F,A,7,27,19,0.419366249,0.169933913,0.169933913,22,40,112,43,28,6,11,3,1,0,0,3,10,0,0,0,0,0,0,0,0
155,K,OK,7,7.824657534,M,A,7,37,19,0.731027204,0.290988157,0.290988157,23,47,105,45,169,8,23,3,0,0,0,5,21,1,8,1,0,1,0,1,7
156,K,YK,5,5.238356164,F,B,4,21,12,0.658225394,0.12982738,0.12982738,23,37,104,29,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,K,YK,4,4.457534247,M,M,7,22,7,0.593856142,0.154367741,0.154367741,27,72,107,25,60,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,2
158,K,OK,6,6.731506849,F,O,4,32,18,0.517448237,0.079957192,0.079957192,17,50,125,53,20,3,4,2,0,0,0,2,4,1,2,2,0,0,0,1,2
159,K,OK,7,7.073972603,M,W,7,32,17,0.594792033,0.157015451,0.157015451,14,44,105,41,28,3,4,3,0,0,0,2,3,0,0,0,0,0,0,0,0
160,K,OK,7,7.320547945,F,M,6,26,17,0.667500533,0.058891518,0.058891518,20,49,98,37,11,2,6,1,0,1,0,1,6,0,0,0,0,0,0,0,0
161,K,OK,7,7.695890411,M,M,7,31,19,0.652474361,0.139792431,0.139792431,25,57,114,51,14,2,2,6,1,0,0,2,2,0,0,1,0,0,0,0,0
162,K,OK,6,6.991780822,M,W,7,30,20,0.484700279,0.122561229,0.122561229,18,48,113,44,13,4,2,2,1,0,0,2,2,0,0,0,0,0,0,0,0
163,K,OK,6,6.991780822,M,W,7,30,16,0.80256378,0.250714548,0.250714548,7,13,110,42,160,4,2,5,1,1,0,3,2,0,0,1,0,0,2,0,0
